"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21705030	"Design Pitching Skills"	"[\"DES-END2713E\",\"DES-IND2713\",\"EDES-DFT2713E\",\"DES-MED2713E\",\"DES-ACD2713E\"]"	"DES"	"END"	"2713E"	"[\"LOH Wei Leong\",\"ホール，Ｍ．\",\"稲村　徳州\"]"	"2021-08-21T22:55:56.185Z"	"コース専門科目　Course Specialized Subjects"	"英語（E）"	"芸術工学部　共通　Environmental Design Course/Industrial Design Course/Design Futures Course/Media Design Course/Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"秋学期"	"[[\"木曜日\",\"１時限\"]]"	"524"	"大橋地区"
21704031	"Global Design Innovations"	"[\"DES-END2712E\",\"DES-IND2712E\",\"DES-DFT2712E\",\"DES-MED2712E\",\"DES-ACD2712E\"]"	"DES"	"END"	"2712E"	"[\"稲村　徳州\",\"LOH Wei Leong\"]"	"2021-04-05T13:02:13.691Z"	"コース専門科目　Course Specialized Subjects"	"英語（E）"	"芸術工学部　共通　Environmental Design Course/Industrial Design Course/Design Futures Course/Media Design Course/Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"夏学期"	"[[\"月曜日\",\"５時限\"]]"	"511"	"大橋地区"
21705031	"Intellectual Property Rights : Global Perspective"	"[\"DES-END2714E\",\"DES-IND2714E\",\"DES-DFT2714E\",\"DES-MED2714E\",\"DES-ACD2714E\"]"	"DES"	"END"	"2714E"	"[\"LOH Wei Leong\",\"稲村　徳州\"]"	"2021-05-25T06:13:47.420Z"	"コース専門科目　Course Specialized Subjects"	"英語（E）"	"芸術工学部　共通　Environmental Design Course/Industrial Design Course/Design Futures Course/Media Design Course/Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"冬学期"	"[[\"月曜日\",\"２時限\"]]"	"511"	"大橋地区"
21704030	"Start-ups and Global Disruptors"	"[\"DES-END2711E\",\"DES-IND2711E\",\"DES-DFT2711E\",\"DES-MED2711E\",\"DES-ACD2711E\"]"	"DES"	"END"	"2711E"	"[\"LOH Wei Leong\",\"稲村　徳州\"]"	"2021-05-25T06:04:19.165Z"	"コース専門科目　Course Specialized Subjects"	"英語（E）"	"芸術工学部　共通　Environmental Design Course/Industrial Design Course/Design Futures Course/Media Design Course/Acoustic Design Course"	"学部2年　Undergraduate second grade"	1	1	2021	"夏学期"	"[[\"月曜日\",\"１時限\"]]"	"511"	"大橋地区"
21704409	"アニメーション表現"	"[\"DES-MED2212J\"]"	"DES"	"MED"	"2212J"	"[\"金　大雄\",\"石井　達郎\"]"	"2021-10-08T04:21:10.983Z"	"コース専門科目　Course Specialized Subjects"	"日本語（J）"	"芸術工学部　メディアデザインコース　Media Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"夏学期"	"[[\"木曜日\",\"３時限\"],[\"木曜日\",\"４時限\"]]"	"531,7号館2階パソコン室 /531,7 building 2F Mac room"	"大橋地区"
21700006	"インターンシップ（学部）"	"[\"DES-END3041J DES-IND3041J DES-VCD3071J DES-ACD3031J DES-AID3011J\"]"	"DES"	"END"	"3041J"	"[\"井上　朝雄\",\"松前　あかね\",\"山内　勝也\",\"丸山　修\",\"妹尾　武治\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"芸術工学部　共通　Department of Environmental Design/Department of Industrial Design/Department of Visual Communication Design/Department of Acoustic Design/Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"通年集中"	"[[\"その他\",\"その他\"]]"		"大橋地区"
21705201	"インダストリアルデザイン基礎Ⅰ"	"[\"DES-IND1111J\"]"	"DES"	"IND"	"1111J"	"[\"秋田　直繁\",\"清須美　匡洋\",\"齋藤　俊文\",\"迫坪　知広\",\"杉本　美貴\",\"曽我部　春香\",\"田村　良一\",\"都甲　康至\",\"平井　康之\",\"藤　智亮\",\"松前　あかね\"]"	"2021-05-25T13:18:18.725Z"	"コース基礎科目　Course Fundamental Subjects"	"日本語（J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部1年　Undergraduate first grade"	1	1	2021	"秋学期"	"[[\"火曜日\",\"３時限\"]]"	"未定/　TBA"	"伊都地区"
21705202	"インダストリアルデザイン基礎Ⅱ"	"[\"DES-IND1211J\"]"	"DES"	"IND"	"1211J"	"[\"澤井　賢一\",\"樋口　重和\",\"村木　里志\",\"元村　祐貴\",\"西村　貴孝\",\"前田　享史\",\"LOH PING YEAP\"]"	"2021-12-07T01:48:40.395Z"	"コース基礎科目　Course Fundamental Subjects"	"英語及び日本語を併用（E/J）"	"芸術工学部　インダストリアルデザインコース　Industrial Design Course"	"学部1年　Undergraduate first grade"	1	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"]]"	"未定/　TBA"	"伊都地区"
21705405	"インタラクションデザイン"	"[\"DES-MED2313J\"]"	"DES"	"MED"	"2313J"	"[\"鶴野　玲治\"]"	"2021-09-20T16:51:37.439Z"	"コース専門科目　Course Specialized Subjects"	"日本語（J）"	"芸術工学部　メディアデザインコース　Media Design Course"	"学部2年　Undergraduate second grade"	1	2	2021	"秋学期"	"[[\"水曜日\",\"４時限\"],[\"水曜日\",\"５時限\"]]"	"525"	"大橋地区"
21700506	"インタラクティブインターフェース演習"	"[\"DES-AID3412W\"]"	"DES"	"AID"	"3412W"	"[\"牛尼　剛聡\"]"		"専攻教育科目　Specialized Education"	"英語及び日本語を併用（E/J）"	"芸術工学部　芸術情報設計学科　Department of Art and Information Design"	"学部3年　Undergraduate third grade"	1	2	2021	"前期"	"[[\"金曜日\",\"４時限\"],[\"金曜日\",\"５時限\"]]"	"7号館３Ｆコンピュータ室／7 building 3F Mac room"	"大橋地区"
