"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21170001	"経済・経営学演習①"	"[\"ECO-ECB4111J\"]"	"ECO"	"ECB"	"4111J"	"[\"藤井　美男\"]"	"2021-03-26T02:35:49.673Z"	"（経済・経営学科）選択必修科目／（経済工学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"]]"	"-"	"伊都地区"
21170002	"経済・経営学演習②"	"[\"ECO-ECB4111J\"]"	"ECO"	"ECB"	"4111J"	"[\"藤井　美男\"]"	"2021-03-26T02:35:49.674Z"	"（経済・経営学科）選択必修科目／（経済工学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"]]"	"-"	"伊都地区"
21170003	"経済工学演習①"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"松本　浩一\"]"	"2021-03-22T07:13:05.587Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"]]"	"-"	"伊都地区"
21170004	"経済工学演習②"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"松本　浩一\"]"	"2021-03-22T07:13:05.588Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"]]"	"-"	"伊都地区"
21170005	"経済工学演習①"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"松本　浩一\"]"	"2021-03-22T07:13:05.589Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170006	"経済工学演習②"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"松本　浩一\"]"	"2021-03-22T07:13:05.587Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170007	"経済工学演習①"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"三浦　功\"]"	"2021-04-01T05:14:15.876Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"]]"	"-"	"伊都地区"
21170008	"経済工学演習②"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"三浦　功\"]"	"2021-04-01T05:14:15.877Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"]]"	"-"	"伊都地区"
21170009	"経済工学演習①"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"三浦　功\"]"	"2021-04-01T05:14:15.877Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170010	"経済工学演習②"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"三浦　功\"]"	"2021-04-01T05:14:15.878Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170011	"経済工学演習①"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"小室　理恵\"]"	"2021-05-16T09:45:27.711Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170012	"経済工学演習②"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"小室　理恵\"]"	"2021-05-16T09:45:27.713Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170013	"経済工学演習①"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"村尾　徹士\"]"	"2021-04-02T13:06:56.828Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170014	"経済工学演習②"	"[\"ECO-ECE4111J\"]"	"ECO"	"ECE"	"4111J"	"[\"村尾　徹士\"]"	"2021-04-02T13:06:56.828Z"	"（経済工学科）選択必修科目／（経済・経営学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21170015	"経済・経営学演習①"	"[\"ECO-ECB4111J\"]"	"ECO"	"ECB"	"4111J"	"[\"内田　大輔\"]"	"2021-03-24T04:05:05.920Z"	"（経済・経営学科）選択必修科目／（経済工学科）自由選択科目"	"日本語（J）"	"経済学部"	"3,4年"	3	4	2021	"通年"	"[[\"月曜日\",\"４時限\"],[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
