"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21075055	"英語科指導法Ⅰ"	"[\"EDU-TEP2329\"]"	"EDU"	"TE"	"P"	"[\"津田　晶子\"]"	"2021-09-06T19:30:37.261Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期"	"[[\"金曜日\",\"５時限\"]]"	"-"	"伊都地区"
21075011	"英語科指導法Ⅳ"	"[\"EDU-TEP2330J\"]"	"EDU"	"TEP"	"2330J"	"[\"津田　晶子\"]"	"2021-03-25T20:22:31.303Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"前期"	"[[\"金曜日\",\"５時限\"]]"	"-"	"伊都地区"
21074006	"教育課程経営・行政論"	"[\"EDU-TEP1203J\"]"	"EDU"	"TEP"	"1203J"	"[\"江口　潔\",\"木村　拓也\"]"	"2021-04-03T04:25:29.182Z"	"-"	"日本語（J）"		"平成29年度以前入学者"	2	2021	"前期"	"[[\"木曜日\",\"１時限\"]]"	"-"	"伊都地区"
21074002	"教育課程論"	"[\"EDU-TEP2342J\"]"	"EDU"	"TEP"	"2342J"	"[\"江口　潔\"]"	"2021-04-03T04:21:52.066Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"春学期"	"[[\"木曜日\",\"１時限\"]]"	"-"	"伊都地区"
21074003	"教育課程論"	"[\"EDU-TEP2342J\"]"	"EDU"	"TEP"	"2342J"	"[\"江口　潔\"]"	"2021-04-03T04:22:29.070Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"夏学期"	"[[\"木曜日\",\"１時限\"]]"	"-"	"伊都地区"
21072004	"教育原論"	"[\"EDU-TEP1201J\"]"	"EDU"	"TEP"	"1201J"	"[\"藤田　雄飛\"]"	"2021-06-08T08:50:24.698Z"	"-"	"日本語（J）"		"平成29年度以前入学者"	2	2021	"前期"	"[[\"火曜日\",\"１時限\"]]"	"-"	"伊都地区"
21072002	"教育原論Ⅰ"	"[\"EDU-TEP1205J\"]"	"EDU"	"TEP"	"1205J"	"[\"藤田　雄飛\",\"野々村　淑子\"]"	"2021-06-08T08:27:53.405Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"春学期"	"[[\"火曜日\",\"１時限\"]]"	"-"	"伊都地区"
21072003	"教育原論Ⅱ"	"[\"EDU-TEP1206J\"]"	"EDU"	"TEP"	"1206J"	"[\"藤田　雄飛\"]"	"2021-06-08T08:48:40.190Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"夏学期"	"[[\"火曜日\",\"１時限\"]]"	"-"	"伊都地区"
21079003	"教育実習Ⅰ"	"[\"EDU-TEP3502J\"]"	"EDU"	"TEP"	"3502J"	"[\"伊藤　崇達\",\"江口　潔\"]"	"2021-06-08T08:56:30.654Z"	"-"	"日本語（J）"		"学部4年"	2	2021	"通年集中"	"[[null,null]]"	"-"	
21079002	"教育実習研究"	"[\"EDU-TEP3501J\"]"	"EDU"	"TEP"	"3501J"	"[\"伊藤　崇達\"]"	"2021-05-26T02:01:44.611Z"	"-"	"日本語（J）"		"学部4年（平成29年度以前入学）"	2	2021	"通年集中"	"[[null,null]]"	"-"	"伊都地区"
21079001	"教育実習指導"	"[\"EDU-TEP3504J\"]"	"EDU"	"TEP"	"3504J"	"[\"伊藤　崇達\"]"	"2021-05-26T02:01:08.723Z"	"-"	"日本語（J）"		"学部4年（平成30年度入学者）"	2	2021	"通年集中"	"[[null,null]]"	"-"	"伊都地区"
21079004	"教育実習Ⅱ"	"[\"EDU-TEP3503J\"]"	"EDU"	"TEP"	"3503J"	"[\"伊藤　崇達\",\"江口　潔\"]"	"2021-06-08T08:57:09.776Z"	"-"	"日本語（J）"		"学部4年"	2	2021	"通年集中"	"[[null,null]]"	"-"	
21074004	"教育社会・制度論"	"[\"EDU-TEP1209J\"]"	"EDU"	"TEP"	"1209J"	"[\"木村　拓也\"]"	"2021-04-01T12:39:42.097Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"春学期"	"[[\"木曜日\",\"１時限\"]]"	"-"	"伊都地区"
21074005	"教育社会・制度論"	"[\"EDU-TEP1209J\"]"	"EDU"	"TEP"	"1209J"	"[\"木村　拓也\"]"	"2021-04-01T12:40:15.757Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"夏学期"	"[[\"木曜日\",\"１時限\"]]"	"-"	"伊都地区"
21079059	"教育相談Ⅰ"					"[\"姫島　源太郎\"]"	"2021-10-13T10:02:15.468Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年"	1	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21079060	"教育相談Ⅱ"					"[\"姫島　源太郎\"]"	"2021-10-13T10:03:11.967Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年"	1	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21079027	"教育方法技術指導法"	"[\"EDU-TEP2341J\"]"	"EDU"	"TEP"	"2341J"	"[\"瀬戸崎　典夫\"]"	"2021-09-07T07:19:01.114Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"前期集中"	"[[null,null]]"	"-"	"伊都地区"
21073003	"教職教育心理学"	"[\"EDU-TEP1202J\"]"	"EDU"	"TEP"	"1202J"	"[\"伊藤　崇達\"]"	"2021-06-08T08:52:45.378Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"前期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21073001	"教職教育心理学Ⅰ"	"[\"EDU-TEP1207J\"]"	"EDU"	"TEP"	"1207J"	"[\"伊藤　崇達\"]"	"2021-06-08T08:51:49.830Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"春学期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21073002	"教職教育心理学Ⅱ"	"[\"EDU-TEP1208J\"]"	"EDU"	"TEP"	"1208J"	"[\"伊藤　崇達\"]"	"2021-06-08T08:52:22.667Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"夏学期"	"[[\"水曜日\",\"１時限\"]]"	"-"	"伊都地区"
21079058	"教職実践演習"	"[\"EDU-TEP3601J\"]"	"EDU"	"TEP"	"3601J"	"[\"江口　潔\",\"伊藤　崇達\",\"鈴木　篤\"]"	"2021-09-13T08:11:56.245Z"	"-"	"日本語（J）"	"教育学部"	"学部4年"	2	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
21071003	"教職論"	"[\"EDU-TEP1101J\"]"	"EDU"	"TEP"	"1101J"	"[\"伊藤　友子\"]"	"2021-04-07T05:20:40.751Z"	"-"	"日本語（J）"		"平成29年度以前入学者"	2	2021	"前期"	"[[\"月曜日\",\"１時限\"]]"	"-"	"伊都地区"
21071001	"教職論Ⅰ"	"[\"EDU-TEP1102J\"]"	"EDU"	"TEP"	"1102J"	"[\"伊藤　友子\"]"	"2021-04-07T05:16:54.009Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"春学期"	"[[\"月曜日\",\"１時限\"]]"	"-"	"伊都地区"
21071002	"教職論Ⅱ"	"[\"EDU-TEP1103J\"]"	"EDU"	"TEP"	"1103J"	"[\"伊藤　友子\"]"	"2021-04-07T05:18:44.089Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	1	2021	"夏学期"	"[[\"月曜日\",\"１時限\"]]"	"-"	"伊都地区"
21071013	"国語科指導法Ⅳ"	"[\"EDU-TEP2304J\"]"	"EDU"	"TEP"	"2304J"	"[\"前田　眞證\"]"	"2021-04-08T05:43:11.416Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"前期"	"[[\"月曜日\",\"５時限\"]]"	"-"	"伊都地区"
21072010	"社会・公民科指導法Ⅰ"	"[\"EDU-TEP2309J\"]"	"EDU"	"TEP"	"2309J"	"[\"江口　厚仁\"]"	"2021-06-08T09:02:28.848Z"	"-"	"日本語（J）"		"学部2年 学部3年 学部4年"	2	2021	"前期"	"[[\"火曜日\",\"２時限\"]]"	"-"	"伊都地区"
21073056	"社会・公民科指導法Ⅱ"	"[\"EDU-TEP2310\"]"	"EDU"	"TE"	"P"	"[\"鎌田　裕文\"]"	"2021-08-28T14:28:22.855Z"	"-"	"日本語（J）"	"教育学部"	"学部2年 学部3年 学部4年"	2	2021	"後期集中"	"[[null,null]]"	"-"	"伊都地区"
