"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"target_students_from"	"target_year"	"elecCompul"	"unit"	"year"	"quarter"	"day_time"	"classroom"	"area"
21250206	"データサイエンス序論（Ⅱ群）"	"[\"ENG-COM1211J\"]"	"ENG"	"COM"	"1211J"	"[\"宗藤　伸治\"]"	"2021-11-19T00:44:08.858Z"	"専攻教育科目　Specialized Education"	"日本語（J）"	"Ⅱ群"	"1"	3	2	2021	"後期"	"[[\"金曜日\",\"３時限\"]]"	"-"	"伊都地区"
21250212	"応用地盤工学I"	"[\"ENG-CVL3351J\"]"	"ENG"	"CVL"	"3351J"	"[\"笠間　清伸\",\"三谷　泰浩\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"地球環境工学科（建都）  /  Department of Earth Resources, Marine and Civil Engineering"	"3"	3	1	2021	"秋学期"	"[[\"金曜日\",\"３時限\"]]"	"-"	"伊都地区"
21250221	"機械工作実習 I（B-Ⅱ）"	"[\"ENG-MCE2822J\"]"	"ENG"	"MCE"	"2822J"	"[\"品川　一成\",\"工藤　健太郎\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"機械航空工学科（機械B-Ⅱ）  /  Department of Mechanical and Aerospace Engineering"	"2"	3	1	2021	"秋学期"	"[[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"]]"	"-"	"伊都地区"
21250222	"情報処理概論"	"[\"ENG-COM2231J\"]"	"ENG"	"COM"	"2231J"	"[\"木村　元\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"地球環境工学科（船海） / Department of Earth Resources, Marine and Civil Engineering"	"3"	3	2	2021	"後期"	"[[\"金曜日\",\"３時限\"],[\"金曜日\",\"４時限\"]]"	"-"	"伊都地区"
21250315	"機械工作実習 II（B-Ⅱ）"	"[\"ENG-MCE2823J\"]"	"ENG"	"MCE"	"2823J"	"[\"品川　一成\",\"工藤　健太郎\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"機械航空工学科（機械B-Ⅱ）  /  Department of Mechanical and Aerospace Engineering"	"2"	3	1	2021	"冬学期"	"[[\"金曜日\",\"４時限\"],[\"金曜日\",\"５時限\"]]"	"-"	"伊都地区"
21250401	"エネルギー物質工学演習"	"[\"ENG-ENS2531J\"]"	"ENG"	"ENS"	"2531J"	"[\"板倉　賢\",\"宮脇　仁\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"エネルギー科学科 / Department of Energy Science and Engineering"	"2"	3	1	2021	"後期"	"[[\"金曜日\",\"５時限\"]]"	"-"	"伊都地区"
21250405	"幾何学第二"					"[\"岩元　 隆\"]"		"専攻教育科目  /  Specialized Courses"	"日本語（J）"	"工学部"			2	2021	"後期"	"[[\"金曜日\",\"６時限\"]]"		"伊都地区"
21251009	"応用流体工学"	"[\"ENG-MCE3422J\"]"	"ENG"	"MCE"	"3422J"	"[\"古川　雅人\",\"渡邉　聡\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"機械航空工学科（機械） / Department of Mechanical and Aerospace Engineering (Mechanical Engineering Course)"	"3"	1	2	2021	"春学期"	"[[\"月曜日\",\"１時限\"],[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251018	"材料力学Ⅲ（理26・27前）"	"[\"ENG-ZMA2216J\"]"	"ENG"	"ZMA"	"2216J"	"[\"濱田　繁\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"機械航空工学科（理科26、27前組） / Department of Mechanical and Aerospace Engineering"	"2"	3	1.5	2021	"夏学期"	"[[\"月曜日\",\"１時限\"],[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
21251019	"材料力学Ⅲ（理27後・28）"	"[\"ENG-ZMA2215J\"]"	"ENG"	"ZMA"	"2215J"	"[\"戸田　裕之\"]"		"専攻教育科目　Specialized Education"	"日本語（J）"	"機械航空工学科（理科27後、28組） / Department of Mechanical and Aerospace Engineering"	"2"	3	1.5	2021	"夏学期"	"[[\"月曜日\",\"１時限\"],[\"月曜日\",\"２時限\"]]"	"＿"	"伊都地区"
