"id"	"name"	"numberlinks"	"school"	"major"	"subject_code"	"instructors"	"updated_at"	"category"	"lang"	"unit"	"year"	"quarter"	"day_time"	"area"	"classroom"	"target_students_from"
21533863	"Active English: Play Disc Golf"	"[\"KED-GES1221E\"]"	"KED"	"GES"	"1221E"	"[\"ﾍﾟｲﾝﾀｰ，ｱﾝﾄﾞﾘｭｰ\"]"	"2021-09-26T11:12:59.643Z"	"総合科目"	"英語（E）"	1	2021	"秋学期"	"[[\"水曜日\",\"４時限\"]]"	"伊都地区"		
21533861	"囲碁から学ぶ人生を切り拓く力"	"[\"KED-GES1221J\"]"	"KED"	"GES"	"1221J"	"[\"須藤　信行\"]"	"2021-10-03T23:43:17.862Z"	"総合科目"	"日本語（J）"	1	2021	"秋学期"	"[[\"水曜日\",\"４時限\"]]"	"伊都地区"		
21539045	"学術英語・集中演習"	"[\"KED-LCB1102W\"]"	"KED"	"LCB"	"1102W"	"[\"井上　奈良彦\"]"	"2022-02-11T09:09:40.256Z"	"言語文化基礎科目"	"英語及び日本語を併用（E/J）"	2	2021	"後期"	"[[\"その他\",\"その他\"]]"	"伊都地区"		
21538054	"学術英語・ＣＡＬＬ１"	"[\"KED-LCB1193J\"]"	"KED"	"LCB"	"1193J"	"[\"伊藤　薫\"]"	"2021-08-30T07:36:47.314Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"前期集中"	"[[\"その他\",\"その他\"]]"	"＿"		
21538058	"学術英語・ＣＡＬＬ１"	"[\"KED-LCB1193J\"]"	"KED"	"LCB"	"1193J"	"[\"伊藤　薫\"]"	"2021-08-30T07:37:27.556Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"後期集中"	"[[\"その他\",\"その他\"]]"	"＿"		
21538059	"学術英語・ＣＡＬＬ２"	"[\"KED-LCB1194J\"]"	"KED"	"LCB"	"1194J"	"[\"伊藤　薫\"]"	"2021-08-30T07:39:08.349Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"後期集中"	"[[\"その他\",\"その他\"]]"	"＿"		
21538055	"学術英語・ＣＡＬＬ 2"	"[\"KED-LCB1194J\"]"	"KED"	"LCB"	"1194J"	"[\"伊藤　薫\"]"	"2021-04-05T05:24:08.389Z"	"言語文化基礎科目"	"日本語（J）"	1	2021	"前期集中"	"[[\"その他\",\"その他\"]]"	"＿"		
21531701	"課題協学科目"	"[\"KED-ICL1131J\"]"	"KED"	"ICL"	"1131J"	"[\"原田　恒司\",\"小林　亮介\",\"山脇　兆史\"]"	"2021-07-07T04:56:38.323Z"	"課題協学科目"	"日本語（J）"	2.5	2021	"後期"	"[[\"月曜日\",\"３時限\"],[\"月曜日\",\"４時限\"]]"	"伊都地区"		
21531535	"基礎科学実習"	"[\"KED-SLE1124J\"]"	"KED"	"SLE"	"1124J"	"[\"山中　隆志\",\"巣山　慶太郎\",\"宮本　知治\",\"山崎　博史\"]"	"2021-08-26T07:36:10.621Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"月曜日\",\"１時限\"],[\"月曜日\",\"２時限\"]]"	"伊都地区"		
21531736	"基礎科学実習"	"[\"KED-SLE1124J\"]"	"KED"	"SLE"	"1124J"	"[\"巣山　慶太郎\",\"中里　健一郎\",\"山崎　博史\",\"山崎　敦子\"]"	"2021-08-26T07:36:10.904Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"月曜日\",\"３時限\"],[\"月曜日\",\"４時限\"]]"	"伊都地区"		
21532533	"基礎科学実習"	"[\"KED-SLE1124J\"]"	"KED"	"SLE"	"1124J"	"[\"有賀　智子\",\"尾上　哲治\",\"友原　啓介\",\"伊藤　太一\"]"	"2021-08-26T07:36:11.171Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"１時限\"],[\"火曜日\",\"２時限\"]]"	"伊都地区"		
21532720	"基礎科学実習"	"[\"KED-SLE1124J\"]"	"KED"	"SLE"	"1124J"	"[\"友原　啓介\",\"中里　健一郎\",\"岡﨑　隆司\",\"伊藤　太一\"]"	"2021-08-26T07:36:11.462Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"火曜日\",\"３時限\"],[\"火曜日\",\"４時限\"]]"	"伊都地区"		
21534535	"基礎科学実習"	"[\"KED-SLE1124J\"]"	"KED"	"SLE"	"1124J"	"[\"今井　洋輔\",\"有賀　智子\",\"林　辰弥\",\"松林　圭\"]"	"2021-08-26T07:36:11.809Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"木曜日\",\"１時限\"],[\"木曜日\",\"２時限\"]]"	"伊都地区"		
21534720	"基礎科学実習"	"[\"KED-SLE1124J\"]"	"KED"	"SLE"	"1124J"	"[\"松林　圭\",\"今井　洋輔\",\"北島　富美雄\",\"山中　隆志\"]"	"2021-08-26T07:36:12.093Z"	"理系ディシプリン科目　専門基礎系"	"日本語（J）"	1	2021	"冬学期"	"[[\"木曜日\",\"３時限\"],[\"木曜日\",\"４時限\"]]"	"伊都地区"		
